,precision,recall,f1-score,support,AUC,accuracy,model
weighted avg,0.9150090612389123,0.9125939849624061,0.912289646849067,1064.0,0.9105888517532431,0.9125939849624061,GaussianLogReg_800
0,0.95625,0.9035433070866141,0.9291497975708501,508.0,0.932886761456976,0.9342105263157895,GaussianLogReg_1600
1,0.916095890410959,0.9622302158273381,0.9385964912280701,556.0,0.932886761456976,0.9342105263157895,GaussianLogReg_1600
macro avg,0.9361729452054794,0.9328867614569761,0.9338731443994601,1064.0,0.932886761456976,0.9342105263157895,GaussianLogReg_1600
weighted avg,0.9352672134102379,0.9342105263157895,0.9340862277150366,1064.0,0.932886761456976,0.9342105263157895,GaussianLogReg_1600
0,0.9600840336134454,0.8996062992125984,0.9288617886178862,508.0,0.9327168186710474,0.9342105263157895,GaussianLogReg_2716
1,0.9132653061224489,0.9658273381294964,0.9388111888111889,556.0,0.9327168186710474,0.9342105263157895,GaussianLogReg_2716
macro avg,0.9366746698679471,0.9327168186710474,0.9338364887145375,1064.0,0.9327168186710474,0.9342105263157895,GaussianLogReg_2716
weighted avg,0.9356186083455938,0.9342105263157895,0.9340609112752887,1064.0,0.9327168186710474,0.9342105263157895,GaussianLogReg_2716
0,0.6656848306332842,0.889763779527559,0.7615838247683233,508.0,0.852326799977341,0.7340225563909775,Spike-and-Slab_Bayesian_MAP50
1,0.8545454545454545,0.591726618705036,0.6992561105207226,556.0,0.852326799977341,0.7340225563909775,Spike-and-Slab_Bayesian_MAP50
macro avg,0.7601151425893693,0.7407451991162974,0.7304199676445229,1064.0,0.852326799977341,0.7340225563909775,Spike-and-Slab_Bayesian_MAP50
weighted avg,0.7643751566625763,0.7340225563909775,0.7290140793532237,1064.0,0.852326799977341,0.7340225563909775,Spike-and-Slab_Bayesian_MAP50
0,0.8899297423887588,0.7480314960629921,0.8128342245989304,508.0,0.9393375063728545,0.8355263157894737,_Bayesian_LogReg50
1,0.7990580847723705,0.9154676258992805,0.8533109807208717,556.0,0.9393375063728545,0.8355263157894737,_Bayesian_LogReg50
macro avg,0.8444939135805647,0.8317495609811363,0.8330726026599011,1064.0,0.9393375063728545,0.8355263157894737,_Bayesian_LogReg50
weighted avg,0.842444176942601,0.8355263157894737,0.8339856121964863,1064.0,0.9393375063728545,0.8355263157894737,_Bayesian_LogReg50
0,0.9025,0.7106299212598425,0.7951541850220264,508.0,0.903054721577069,0.825187969924812,Spike-and-Slab_Bayesian_MAP100
1,0.7786144578313253,0.9298561151079137,0.8475409836065574,556.0,0.903054721577069,0.825187969924812,Spike-and-Slab_Bayesian_MAP100
macro avg,0.8405572289156626,0.820243018183878,0.8213475843142919,1064.0,0.903054721577069,0.825187969924812,Spike-and-Slab_Bayesian_MAP100
weighted avg,0.8377628181900534,0.825187969924812,0.8225292414252211,1064.0,0.903054721577069,0.825187969924812,Spike-and-Slab_Bayesian_MAP100
0,0.933649289099526,0.7755905511811023,0.8473118279569892,508.0,0.9504793802753072,0.8665413533834586,_Bayesian_LogReg100
1,0.822429906542056,0.9496402877697842,0.8814691151919867,556.0,0.9504793802753072,0.8665413533834586,_Bayesian_LogReg100
macro avg,0.8780395978207911,0.8626154194754432,0.8643904715744879,1064.0,0.9504793802753072,0.8665413533834586,_Bayesian_LogReg100
weighted avg,0.8755308899435549,0.8665413533834586,0.8651609367000894,1064.0,0.9504793802753072,0.8665413533834586,_Bayesian_LogReg100
0,0.8696581196581197,0.8011811023622047,0.834016393442623,508.0,0.9309324194187956,0.8477443609022557,Spike-and-Slab_Bayesian_MAP200
1,0.8305369127516778,0.8902877697841727,0.859375,556.0,0.9309324194187956,0.8477443609022557,Spike-and-Slab_Bayesian_MAP200
macro avg,0.8500975162048987,0.8457344360731887,0.8466956967213115,1064.0,0.9309324194187956,0.8477443609022557,Spike-and-Slab_Bayesian_MAP200
weighted avg,0.8492150829664076,0.8477443609022557,0.8472676953654629,1064.0,0.9309324194187956,0.8477443609022557,Spike-and-Slab_Bayesian_MAP200
0,0.8920086393088553,0.812992125984252,0.8506694129763132,508.0,0.9376770237353425,0.8637218045112782,_Bayesian_LogReg200
1,0.8419301164725458,0.9100719424460432,0.8746758859118411,556.0,0.9376770237353425,0.8637218045112782,_Bayesian_LogReg200
macro avg,0.8669693778907006,0.8615320342151476,0.8626726494440771,1064.0,0.9376770237353425,0.8637218045112782,_Bayesian_LogReg200
weighted avg,0.865839787150032,0.8637218045112782,0.8632141488336003,1064.0,0.9376770237353425,0.8637218045112782,_Bayesian_LogReg200
0,0.934640522875817,0.844488188976378,0.8872802481902792,508.0,0.9637738627995242,0.8975563909774437,Spike-and-Slab_Bayesian_MAP400
1,0.8694214876033057,0.9460431654676259,0.9061154177433247,556.0,0.9637738627995242,0.8975563909774437,Spike-and-Slab_Bayesian_MAP400
macro avg,0.9020310052395614,0.895265677222002,0.8966978329668019,1064.0,0.9637738627995242,0.8975563909774437,Spike-and-Slab_Bayesian_MAP400
weighted avg,0.9005598991807829,0.8975563909774437,0.897122686415367,1064.0,0.9637738627995242,0.8975563909774437,Spike-and-Slab_Bayesian_MAP400
