matchId,blue_win,blueGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgLevel,redGold,redMinionsKilled,redJungleMinionsKilled,redAvgLevel,blueChampKills,blueHeraldKills,blueTowersDestroyed,redChampKills,redHeraldKills,redTowersDestroyed
3388352867.0,1,26751.0,357.0,110.0,9.0,23260.0,327.0,92.0,9.2,8.0,1.0,0.0,6.0,1.0,0.0
3392919279.0,1,24385.0,304.0,76.0,9.2,23701.0,354.0,76.0,9.0,8.0,2.0,1.0,5.0,1.0,1.0
3479172628.0,1,24476.0,358.0,80.0,8.8,25539.0,305.0,99.0,9.6,6.0,2.0,0.0,11.0,1.0,1.0
3471880441.0,1,29323.0,349.0,106.0,9.4,19654.0,285.0,39.0,8.2,16.0,3.0,0.0,4.0,0.0,3.0
3512323371.0,1,25279.0,330.0,78.0,9.2,24454.0,339.0,90.0,9.0,11.0,2.0,0.0,7.0,1.0,0.0
3510034209.0,1,26151.0,330.0,97.0,9.4,25660.0,293.0,85.0,8.8,12.0,2.0,1.0,13.0,0.0,0.0
3480432009.0,1,25875.0,338.0,66.0,9.2,22294.0,336.0,78.0,9.0,10.0,3.0,0.0,5.0,0.0,1.0
3474008345.0,1,27939.0,298.0,78.0,8.8,23040.0,294.0,67.0,8.8,13.0,1.0,0.0,7.0,2.0,2.0
3509632352.0,1,30579.0,328.0,91.0,9.4,26212.0,347.0,85.0,9.2,17.0,3.0,0.0,8.0,0.0,2.0
3476424964.0,1,26484.0,348.0,88.0,9.2,24785.0,339.0,60.0,8.8,11.0,2.0,0.0,12.0,0.0,0.0
3501265176.0,1,32093.0,325.0,61.0,9.4,26347.0,292.0,74.0,8.8,23.0,2.0,0.0,15.0,1.0,2.0
3482269128.0,1,28695.0,341.0,69.0,9.4,23921.0,298.0,81.0,8.8,16.0,1.0,0.0,9.0,1.0,1.0
3512141863.0,1,30147.0,356.0,83.0,9.4,26712.0,348.0,104.0,9.8,14.0,1.0,0.0,12.0,2.0,3.0
3504600487.0,1,28091.0,318.0,82.0,9.2,27877.0,344.0,82.0,9.2,18.0,3.0,0.0,14.0,0.0,1.0
3507445657.0,1,25822.0,396.0,86.0,9.6,21352.0,370.0,74.0,8.8,7.0,2.0,0.0,2.0,0.0,2.0
3443324603.0,1,26907.0,338.0,90.0,9.6,23057.0,339.0,93.0,8.8,12.0,1.0,0.0,5.0,1.0,2.0
3512634452.0,1,27828.0,335.0,85.0,9.0,26675.0,256.0,82.0,9.2,15.0,2.0,0.0,15.0,1.0,0.0
3493324592.0,1,34256.0,367.0,132.0,10.4,23600.0,318.0,61.0,8.8,22.0,2.0,0.0,9.0,1.0,4.0
3485439631.0,1,28725.0,317.0,88.0,9.0,26172.0,326.0,100.0,9.2,15.0,1.0,0.0,13.0,2.0,2.0
3500895539.0,1,26732.0,323.0,89.0,9.4,29210.0,350.0,101.0,9.6,10.0,0.0,2.0,16.0,3.0,0.0
3511439560.0,1,31563.0,366.0,116.0,10.2,23441.0,330.0,78.0,8.8,19.0,2.0,0.0,7.0,0.0,3.0
3512017991.0,1,23176.0,316.0,84.0,9.0,24624.0,321.0,100.0,9.8,7.0,3.0,0.0,10.0,0.0,0.0
3488659522.0,1,28630.0,386.0,88.0,9.6,24368.0,335.0,99.0,9.2,12.0,3.0,0.0,8.0,0.0,1.0
3459753986.0,1,26993.0,361.0,94.0,9.6,25568.0,345.0,72.0,9.2,11.0,1.0,2.0,6.0,2.0,0.0
3488542346.0,1,26816.0,314.0,74.0,9.0,26213.0,305.0,72.0,9.4,13.0,2.0,1.0,14.0,0.0,1.0
3488074519.0,1,29698.0,331.0,91.0,9.4,22051.0,298.0,56.0,8.0,16.0,3.0,1.0,5.0,0.0,3.0
3510200122.0,1,26675.0,376.0,87.0,9.6,21033.0,272.0,76.0,8.8,8.0,3.0,0.0,4.0,0.0,2.0
3382566647.0,1,27192.0,358.0,82.0,9.6,25685.0,347.0,73.0,9.2,11.0,1.0,1.0,9.0,2.0,1.0
3450221287.0,1,30749.0,390.0,86.0,9.4,22624.0,318.0,76.0,8.2,14.0,2.0,0.0,5.0,1.0,3.0
3493553398.0,1,28893.0,337.0,88.0,9.2,26024.0,371.0,76.0,9.0,15.0,1.0,0.0,11.0,1.0,1.0
